no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
296,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
297,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
298,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
299,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
300,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
301,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
302,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
303,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
304,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
305,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
306,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
307,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
308,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
309,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
310,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
311,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
312,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
313,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
314,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
